Name,Related page,Meal,Type,Link,Origin,Notes,Duration,Serving size,Cooked,Rating,Cook this week,Table
Ragu,"Ragu ",Dinner,Pasta,,,,4 hrs,8,true,5,false,
Vegan Dip,"Vegan Dip ",Dinner,Appetizer,,Instagram,,1 hr,6,true,4,false,
Dal,"Dal ",Dinner,Meal,,,,45 mins,4,true,4,true,
Naan,"Naan ",Dinner,Bread,,,,2 hrs 30 mins,6,false,3,false,
Shoyu Ramen,"Shoyu Ramen ",Dinner,Ramen,https://www.justonecookbook.com/spicy-shoyu-ramen/,,,,,false,,false,
Ramen egg,Ramen egg,Dinner,Sub item,https://www.justonecookbook.com/ramen-egg/,,,,,false,,false,
Chashu,"Chasu ",Dinner,Sub item,https://www.justonecookbook.com/homemade-chashu/,,,,,false,,false,
Dashi,"Dashi ",Dinner,Sub item,https://www.justonecookbook.com/how-to-make-dashi-jiru/,Online,,20 mins,1,true,4,false,
Spicy Mushroom Lasagna,"Spicy Mushroom Lasagna ",Dinner,Pasta,,Flavor,,2 hrs 30 mins,6,true,5,false,
Creamy Tuscan Tortellini Soup,,Dinner,Soup,https://www.instagram.com/p/CxndT2tswgd/,Instagram,,30 mins,6,false,,false,
The G.O.A.T. Widowmaker White Chicken Chili,,Dinner,Soup,https://www.instagram.com/p/C17QS92AQmi/,Instagram,,,,false,,false,
Carne Asada Tacos,,Dinner,Tacos,https://www.halfbakedharvest.com/loaded-crockpot-carne-asada-tacos/,,,5 hrs,6,,,,
Chipotle Honey Pot Roast Tacos,,,,https://www.halfbakedharvest.com/chipotle-pot-roast-tacos/,,,,,false,,false,
Mexican Fries,,Dinner,Sides,https://www.halfbakedharvest.com/loaded-crockpot-carne-asada-tacos/,,,45 mins,,false,,false,